City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
178,Georgetown,MY,85.93,few clouds,5.4112,100.3354,Page 63 hostel
194,Ballina,AU,70.79,light rain,-28.8667,153.5667,Ballina Beach Resort
197,Port Macquarie,AU,70.9,overcast clouds,-31.4333,152.9167,The Observatory
199,Souillac,MU,71.98,scattered clouds,-20.5167,57.5167,Hotel SkylineInn
203,Bathsheba,BB,75.81,scattered clouds,13.2167,-59.5167,Atlantis Hotel
204,Berbera,SO,75.69,clear sky,10.4396,45.0143,Al Madina Hotel
213,Sur,OM,75.87,clear sky,22.5667,59.5289,Sur Hotel
226,Port Elizabeth,ZA,70.09,clear sky,-33.918,25.5701,Waterford Hotel
229,Champerico,GT,75.54,broken clouds,14.3,-91.9167,Hotel y Restaurante El Submarino
238,Banda Aceh,ID,83.7,overcast clouds,5.5577,95.3222,Hotel 61
240,Puerto Narino,CO,71.94,overcast clouds,-3.7703,-70.3831,Eco Hotel Euare
252,Sijunjung,ID,80.92,overcast clouds,-0.6876,100.9537,Hotel Bukik Gadang
265,Ouidah,BJ,80.46,broken clouds,6.3631,2.0851,l'Ermitage 2
266,Daru,PG,85.21,overcast clouds,-9.0763,143.2092,Kuki
269,Kavali,IN,74.95,scattered clouds,14.9167,79.9833,Hotel Namaskar
281,Caravelas,BR,75.22,light rain,-17.7125,-39.2481,Pousada dos Navegantes
292,Gladstone,AU,71.53,light rain,-23.85,151.25,Gladstone Downtown Central
297,Puerto Colombia,CO,80.69,overcast clouds,10.9878,-74.9547,Hotel Puerto Colombia
305,Yenagoa,NG,75.81,overcast clouds,4.9247,6.2642,Peretimi Hotels Ltd.
314,Moroni,KM,75.92,scattered clouds,-11.7022,43.2551,Ville de Moroni
317,Pedernales,DO,78.66,broken clouds,18.0384,-71.744,Hostal Doña Chava
320,Imbituba,BR,72.86,overcast clouds,-28.24,-48.6703,Silvestre Praia Hotel
327,Lorengau,PG,86.43,broken clouds,-2.0226,147.2712,Seeadler Bay Hotel
332,Moron,AR,80.49,few clouds,-34.6534,-58.6198,La Esquina
340,Marawi,PH,80.22,light rain,7.9986,124.2928,Marawi Resort Hotel
345,Mormugao,IN,76.26,mist,15.4,73.8,Hotel Rukhmini
351,Akyab,MM,81.97,clear sky,20.15,92.9,Yuzana Aung Motel 1
