City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
174,Namibe,AO,-15.1961,12.1522,68.77,84,100,6.44,overcast clouds
175,Avarua,CK,-21.2078,-159.775,78.85,78,75,14.97,light rain
176,Dalvik,IS,65.9702,-18.5286,26.53,74,91,15.46,overcast clouds
177,Khatanga,RU,71.9667,102.5,-24.27,94,5,4.5,clear sky
178,Georgetown,MY,5.4112,100.3354,85.93,79,20,2.3,few clouds
179,Fortuna,US,40.5982,-124.1573,43.14,88,0,0.0,clear sky
180,Labuhan,ID,-6.8844,112.2051,84.97,67,100,11.54,overcast clouds
181,Boca Do Acre,BR,-8.7522,-67.3978,75.79,82,79,3.44,broken clouds
182,Chimbote,PE,-9.0853,-78.5783,67.37,81,68,6.76,broken clouds
183,Dunhua,CN,43.3725,128.2425,0.18,73,94,19.62,overcast clouds
184,Derzhavinsk,KZ,51.1,66.3167,8.17,81,100,11.05,overcast clouds
185,Rio Grande,BR,-32.035,-52.0986,69.58,91,5,15.43,clear sky
186,Bedele,ET,8.456,36.353,52.39,84,78,1.68,broken clouds
187,Longyearbyen,SJ,78.2186,15.6401,33.64,75,100,19.57,light snow
188,Ancud,CL,-41.8697,-73.8203,46.58,74,4,6.31,clear sky
189,Nome,US,64.5011,-165.4064,19.47,74,100,13.8,overcast clouds
190,Vila Franca Do Campo,PT,37.7167,-25.4333,64.2,84,95,3.62,overcast clouds
191,Fairbanks,US,64.8378,-147.7164,-9.4,78,20,0.0,few clouds
192,Mount Gambier,AU,-37.8333,140.7667,61.21,61,96,7.65,overcast clouds
193,Sayyan,YE,15.1718,44.3244,45.54,46,0,3.83,clear sky
194,Ballina,AU,-28.8667,153.5667,70.79,68,100,14.12,light rain
195,Shubarshi,KZ,48.5872,57.1869,14.97,41,3,13.42,clear sky
196,Cefalu,IT,38.0386,14.0229,55.54,74,70,5.01,broken clouds
197,Port Macquarie,AU,-31.4333,152.9167,70.9,51,99,9.55,overcast clouds
198,Peniche,PT,39.3558,-9.3811,52.45,92,46,5.7,scattered clouds
199,Souillac,MU,-20.5167,57.5167,71.98,88,40,0.0,scattered clouds
200,Kruisfontein,ZA,-34.0033,24.7314,63.72,81,1,6.96,clear sky
201,Xuddur,SO,4.1213,43.8894,68.07,89,9,13.22,clear sky
202,Santa Catarina De Tepehuanes,MX,25.35,-105.7333,49.32,38,91,4.61,overcast clouds
203,Bathsheba,BB,13.2167,-59.5167,75.81,83,40,10.36,scattered clouds
204,Berbera,SO,10.4396,45.0143,75.69,72,9,5.26,clear sky
205,Merrill,US,45.1805,-89.6835,30.61,93,100,13.8,overcast clouds
206,Grande Prairie,CA,55.1667,-118.8027,-5.62,77,100,11.5,light snow
207,Tavda,RU,58.0425,65.2726,6.22,90,100,4.32,overcast clouds
208,Cuamba,MZ,-14.8031,36.5372,69.04,85,100,1.68,overcast clouds
209,Tautira,PF,-17.7333,-149.15,78.17,81,22,10.16,light rain
210,Qui Nhon,VN,13.7667,109.2333,80.64,80,19,6.46,few clouds
211,Usinsk,RU,65.9939,57.5281,11.39,96,100,5.97,light snow
212,Provideniya,RU,64.3833,-173.3,32.36,100,100,11.18,rain and snow
213,Sur,OM,22.5667,59.5289,75.87,56,3,6.33,clear sky
214,Airai,TL,-8.9266,125.4092,75.09,50,83,3.38,broken clouds
215,Rocha,UY,-34.4833,-54.3333,62.2,95,0,8.03,clear sky
216,Valentin Gomez Farias,MX,28.2167,-106.5833,52.52,32,2,6.2,clear sky
217,Isetskoye,RU,56.4858,65.3226,4.51,85,100,4.41,overcast clouds
218,Talnakh,RU,69.4865,88.3972,-10.52,99,100,3.65,light snow
219,Yar-Sale,RU,66.8333,70.8333,-4.49,100,85,1.52,overcast clouds
220,Hobart,AU,-42.8794,147.3294,66.06,45,75,16.11,broken clouds
221,Buala,SB,-8.145,159.5921,82.96,77,93,3.29,light rain
222,Aviles,ES,43.5547,-5.9248,50.38,88,0,6.91,clear sky
223,Tucurui,BR,-3.7661,-49.6725,74.46,90,100,0.94,light rain
224,Bandarbeyla,SO,9.4942,50.8122,75.87,74,3,13.29,clear sky
225,Safaga,EG,26.7292,33.9365,68.95,47,6,4.27,clear sky
226,Port Elizabeth,ZA,-33.918,25.5701,70.09,88,0,4.61,clear sky
227,Benghazi,LY,32.1167,20.0667,65.08,64,70,9.89,light rain
228,Mayo,US,38.8876,-76.5119,47.1,82,0,10.0,clear sky
229,Champerico,GT,14.3,-91.9167,75.54,84,63,7.0,broken clouds
230,Lanark,GB,55.6737,-3.7817,41.94,95,100,4.5,overcast clouds
231,Tasiilaq,GL,65.6145,-37.6368,39.36,92,100,38.83,light rain
232,Greenfield,US,42.9614,-88.0126,56.7,77,75,16.11,broken clouds
233,Sobolevo,RU,54.4299,31.8996,19.96,90,100,8.41,overcast clouds
234,Baruun-Urt,MN,46.6806,113.2792,-1.5,67,40,17.4,scattered clouds
235,Kormilovka,RU,55.0026,74.1028,-5.15,86,13,7.0,few clouds
